刊物名称,刊物全称,出版社,地址,等级,期刊/会议,类别
HotI,Symposium on High-Performance Interconnects,IEEE,http://dblp.uni-trier.de/db/conf/hoti/,C,Meeting,1
VTS,VLSI Test Symposium,IEEE,http://dblp.uni-trier.de/db/conf/vts/,C,Meeting,1
JSAC,IEEE Journal of Selected Areas in Communications,IEEE,http://dblp.uni-trier.de/db/journals/jsac/,A,Journal,2
TMC,IEEE Transactions on Mobile Computing,IEEE,http://dblp.uni-trier.de/db/journals/tmc/,A,Journal,2
TON,IEEE/ACM Transactions on Networking,IEEE/ACM,http://dblp.uni-trier.de/db/journals/ton/,A,Journal,2
TOIT,ACM Transactions on Internet Technology,ACM,http://dblp.uni-trier.de/db/journals/toit/,B,Journal,2
TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,http://dblp.uni-trier.de/db/journals/tomccap/,B,Journal,2
TOSN,ACM Transactions on Sensor Networks,ACM,http://dblp.uni-trier.de/db/journals/tosn/,B,Journal,2
CN,Computer Networks,Elsevier,http://dblp.uni-trier.de/db/journals/cn/,B,Journal,2
TCOM,IEEE Transactions on Communications,IEEE,http://dblp.uni-trier.de/db/journals/tcom/,B,Journal,2
TWC,IEEE Transactions on Wireless Communications,IEEE,http://dblp.uni-trier.de/db/journals/twc/,B,Journal,2
,Ad hoc Networks,Elsevier,http://dblp.uni-trier.de/db/journals/adhoc/,C,Journal,2
CC,Computer Communications,Elsevier,http://dblp.uni-trier.de/db/journals/comcom/,C,Journal,2
TNSM,IEEE Transactions on Network and Service Management,IEEE,http://dblp.uni-trier.de/db/journals/tnsm/,C,Journal,2
,IET Communications,IET,http://dblp.uni-trier.de/db/journals/iet-com/,C,Journal,2
JNCA,Journal of Network and Computer Applications,Elsevier,http://dblp.uni-trier.de/db/journals/jnca/,C,Journal,2
MONET,Mobile Networks & Applications,Springer,http://dblp.uni-trier.de/db/journals/monet/,C,Journal,2
,Networks,Wiley,http://dblp.uni-trier.de/db/journals/networks/,C,Journal,2
PPNA,Peer-to-Peer Networking and Applications,Springer,http://dblp.uni-trier.de/db/journals/ppna/,C,Journal,2
WCMC,Wireless Communications & Mobile Computing,Wiley.,http://dblp.uni-trier.de/db/journals/wicomm/,C,Journal,2
,Wireless Networks,Springer,http://dblp.uni-trier.de/db/journals/winet/,C,Journal,2
SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",ACM,http://dblp.uni-trier.de/db/conf/sigcomm/index.html,A,Meeting,2
MobiCom,ACM International Conference on Mobile Computing and Networking,ACM,http://dblp.uni-trier.de/db/conf/mobicom/,A,Meeting,2
INFOCOM,IEEE International Conference on Computer Communications,IEEE,http://dblp.uni-trier.de/db/conf/infocom/,A,Meeting,2
NSDI,Symposium on Network System Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/nsdi/,A,Meeting,2
SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,http://dblp.uni-trier.de/db/conf/sensys/,B,Meeting,2
